mean,median,std_dev,max,min,entropy,edges_mean,fft_mean,fft_median,fft_std,fft_max,fft_min,haar_mean,haar_median,haar_std,haar_max,haar_min,dct_mean,dct_median,dct_std,dct_max,dct_min,label
0.311875843,0.2498627451,0.3053592133,0.9211345098,0,12.18624616,0.05611875,11.30379817,1.262985868,174.2238521,49900.13487,0.002396476332,0.6237516859,0.5019928431,0.6096465383,1.816886471,0,0.0001117595639,2.04E-06,0.4364754037,124.7503372,-89.60606403,0
0.285413611,0.3068709804,0.2269199369,0.8833733333,0,12.07541594,0.04778125,9.053212303,1.274339132,145.5699601,45666.17776,0.00403684335,0.570827222,0.6157621569,0.4529024377,1.740698431,0.01148196078,0.000174429121,4.37E-06,0.3646279702,114.1654444,-49.20360106,0
0.3200691217,0,0.4035512216,0.9604788235,0,6.846666001,0.01559375,10.01968116,0.9930417132,205.7844964,51211.05948,0.001725770014,0.6401382435,0,0.8065514991,1.91311451,0,6.87E-05,3.24E-06,0.5150707004,128.0276487,-119.4648786,0
0.3066871885,0.2268152941,0.2680965752,0.9925,0.004523921569,15.17675238,0.06880625,13.82939657,1.423009302,162.3514602,49069.95015,0.003119889489,0.6133743769,0.4559092157,0.5345508985,1.967077647,0.01187529412,0.0005904829361,-3.63E-06,0.4073480779,122.6748754,-30.58673945,0
0.4067968676,0.3709513725,0.2044004834,0.8843156863,0.009479215686,16.05318298,0.0623875,9.724296731,1.173557949,181.8448732,65087.49881,0.002690265792,0.8135937351,0.7431283333,0.4076656895,1.754734314,0.03352862745,0.0006067685558,7.56E-06,0.4552613326,162.718747,-51.94976709,0
0.4142651007,0.1397847059,0.338165772,0.9921419608,0.009487058824,9.833759826,0.02001875,10.26956693,1.20586454,213.658611,66282.41611,0.002588911803,0.8285302013,0.2815301961,0.6755907232,1.966048627,0.124164902,0.0003399460065,-1.99E-06,0.534763076,165.7060403,-99.9625965,0
0.3984200834,0.1631,0.3161518142,0.9994345098,0.07514352941,11.91557766,0.04104375,10.49738835,1.232566359,203.1755153,63747.21334,0.001793947297,0.7968401667,0.326502451,0.6315900161,1.997738039,0.1733998039,0.0003381595761,7.04E-07,0.5086161796,159.3680333,-93.47347186,0
0.6129925204,0.59924,0.2646917171,1,0.02264352941,15.42800738,0.1324125,18.7706319,4.307959954,266.4190478,98078.80327,0.004459855154,1.225985041,1.197524314,0.5260649254,2,0.1021160784,0.002249700169,-6.80E-06,0.667694896,245.1970082,-10.4335634,0
0.3078583172,0.05238705882,0.3268180781,0.987967451,0.002805490196,8.571362697,0.010925,9.014301927,0.7833778444,179.3673055,49257.33075,0.00109134497,0.6157166343,0.1047741176,0.6530609723,1.969684706,0.02856352941,0.0001613607348,1.20E-06,0.4489841574,123.1433269,-72.7606898,0
0.1901028996,0.04734117647,0.2049913749,0.9419203922,0.002247058824,11.12413739,0.05659375,10.4550316,1.840116728,111.339052,30416.46394,0.003407313587,0.3802057992,0.09524862745,0.4085379977,1.820424706,0.01568627451,0.0001146231646,-4.68E-06,0.2795721071,76.04115984,-46.54601156,0
